cell_data.txt
DO NOT INSERT EMPTY LINES. KEEP THE FORMAT AS IT IS
 CELL     TYPE       X          Y      CO 
DBA5508  CT0704    906.000   1272.000  FS
DBC7365  CT0150   1123.100   1347.600  FS
DBF4581  CT0587    806.160   1606.800   S
DCD5273  CT0918    993.230   1272.000   S
DCD7645  CT0918   1537.280   1083.000   S
DCK0033  CT0629   1671.440   1024.500   N
DCN7400  CT0587   1679.110    772.500   N
DCT9156  CT0821   1129.990   1336.800  FS
DCX0291  CT0587   1706.410    844.500   N
DCX6658  CT0587   1681.580   1672.500   N
DCY3923  CT0704   1410.270    969.600  FS
DDE4247  CT0587    474.790   1079.400   S
DDE5414  CT0150   1210.850   1315.200  FS
DDG0921  CT0064    985.560   1304.400  FS
DDQ4691  CT0806   1404.030    931.800  FS
DDS0617  CT0704   1523.760    883.200   S
DDY8111  CT0198   1204.480   1299.000  FS
DDZ9003  CT0587    633.910   1600.500  FN
DEK2049  CT0918   1423.660   1012.800  FS
DFI0980  CT0971   1160.670   1282.800  FS
DFN1356  CT0918   1189.010   1266.600   S
DGD7137  CT0587   1679.760   1060.500   N
DGU0030  CT0198   1186.410   1304.400   S
DGV3066  CT0587   1722.790   1708.500  FN
DHA0539  CT0115   1503.870    899.400   S
DHD7730  CT0839    986.860   1282.800  FS
DHE0742  CT0839   1042.890   1266.600   S
DHT3627  CT0587   1675.340    952.500   N
DIB7421  CT0576   1354.890   1018.200   S
DIC8259  CT0587   1680.020   1312.500   N
DIC9635  CT0587   1704.980    700.500   N
DIG6944  CT0623   1604.100    966.900  FN
DIJ3594  CT0839   1386.090    964.200   S
DIN3368  CT0064   1464.610    931.800   S
DIO2082  CT0587    714.380   1625.700  FN
DIW3332  CT0019   1698.350   1312.500   N
DJM6264  CT0587   1698.480   1168.500   N
DJT9013  CT0629   1669.750    664.500   N
DJU8067  CT0019   1721.620    880.500  FN
DJU8666  CT0839   1460.320    991.200  FS
DJY3206  CT0900   1130.770   1261.200   S
DKE3055  CT0587    438.650   1618.500  FN
DKH6735  CT0704   1182.640   1282.800  FS
DKH8066  CT0587    597.900   1604.100  FN
DKI6248  CT0587   1687.820   1348.500   N
DKM9085  CT0918   1416.380    975.000  FS
DKQ8641  CT0587    398.220   1605.900  FN
DKR8899  CT0587   1703.420   1456.500  FN
DLJ6619  CT0561   1694.060   1348.500   N
DLN0264  CT0587    465.690   1183.800   S
DLQ7758  CT0734   1796.890    913.800  FS
DLS5968  CT0019   1693.020   1420.500  FN
DLV2876  CT0589   1483.980   1012.800   S
DLY5516  CT0589   1380.240    872.400   S
DMG1252  CT0587    813.570   1602.300  FN
DMN2425  CT0839    980.880   1282.800   S
DMQ4568  CT0198   1116.860   1336.800  FS
DMU5582  CT0561    359.220   1634.700   N
DMU9591  CT0150   1142.340   1331.400   S
DNB1644  CT0064   1181.990   1331.400  FS
DNE7449  CT0839   1380.110    985.800   S
DNK1983  CT0900   1435.880    894.000  FS
DNQ6701  CT0587   1709.400   1096.500   N
DOD6606  CT0704   1457.460   1099.200   S
DOG0299  CT0198    820.070   1603.200  FS
DOH0956  CT0839   1368.020    980.400   S
DOH1148  CT0623    496.500   1273.800   S
DOJ7485  CT0629    841.000   1609.500  FN
DOK6125  CT0587   1686.260   1600.500   N
DON5260  CT0587    359.480   1429.500  FN
DOS4499  CT0587   1712.520    520.500   N
DOZ5059  CT0587    417.590   1064.100  FN
DPB5547  CT0704   1372.440    942.600   S
DPD3393  CT0064   1441.730   1077.600   S
DPF0782  CT0587   1696.270    628.500   N
DQF6186  CT0587   1680.930    952.500   N
DQI5594  CT0031   1426.130   1007.400  FS
DQN2845  CT0587   1714.990    736.500   N
DQO4415  CT0839   1472.800   1034.400   S
DQO6690  CT0587   1700.950    988.500   N
DQR3359  CT0587   1695.230    988.500   N
DQR3773  CT0198   1142.340   1315.200   S
DQT2893  CT0587   1718.500    808.500   N
DQV7151  CT0900   1204.870   1304.400   S
DRB6173  CT0587   1704.720   1492.500  FN
DRE8139  CT0587   1706.670    700.500   N
DRT6807  CT0704   1477.090   1093.800   S
DSB6384  CT0845    826.570   1606.800   S
DSG0262  CT0589   1477.350    969.600  FS
DSJ0381  CT0704   1537.150    899.400   S
DSM5717  CT0198   1073.700   1288.200  FS
